price,brand,model,year,title_status,mileage,color,vin,lot,state,country
19600,chrysler,300,2019,clean vehicle,42648.0,gray,2c3ccabgxkh559658,167754404,south carolina,usa
12920,gmc,mpv,2017,clean vehicle,39165.0,silver,1gks2bkc6hr134450,167692514,california,usa
20000,jeep,cherokee,2019,clean vehicle,38355.0,charcoal,1c4pjmbx6kd298806,167802532,north carolina,usa
18100,buick,door,2017,clean vehicle,46766.0,silver,1g4zp5ss8hu149142,167763681,florida,usa
23000,chrysler,pacifica,2020,clean vehicle,2473.0,white,2c4rc1fg5lr143335,167656205,ohio,usa
18500,chrysler,300,2019,clean vehicle,38586.0,gray,2c3ccaeg5kh585628,167754410,south carolina,usa
13490,gmc,door,2017,clean vehicle,27842.0,white,1gks2gkc0hr323625,167692515,california,usa
20700,jeep,cherokee,2019,clean vehicle,31156.0,white,1c4pjmbx2kd360704,167802533,north carolina,usa
17800,chevrolet,door,2017,clean vehicle,52435.0,black,1g1fb1rsxh0185712,167763683,florida,usa
6650,ford,door,2017,clean vehicle,29942.0,black,1fmcu0gd8huc93883,167656254,texas,usa
29100,chrysler,pacifica,2019,clean vehicle,25281.0,red,2c4rc1gg3kr730663,167754412,south carolina,usa
12710,gmc,door,2017,clean vehicle,32504.0,silver,1gks2gkc6hr327937,167692524,california,usa
21100,jeep,cherokee,2019,clean vehicle,28649.0,silver,1c4pjmbx6kd298174,167802534,north carolina,usa
18600,chevrolet,door,2017,clean vehicle,35200.0,white,1g1fb1rsxh0104806,167763684,florida,usa
4340,ford,door,2017,clean vehicle,25602.0,silver,1fmcu0gd7huc86259,167656255,texas,usa
19300,chrysler,300,2019,clean vehicle,34801.0,gray,2c3ccakg4kh594972,167754413,south carolina,usa
12780,gmc,door,2017,clean vehicle,31009.0,black,1gks2gkc7hr321306,167692525,california,usa
15800,jeep,compass,2019,clean vehicle,35595.0,charcoal,3c4njccb4kt662767,167802541,north carolina,usa
29400,bmw,x3,2017,clean vehicle,23765.0,black,5uxwx7c3xh0u44145,167763685,tennessee,usa
4430,ford,door,2017,clean vehicle,31792.0,black,1fmcu0gd9huc37922,167656256,texas,usa
19400,chrysler,300,2019,clean vehicle,33135.0,gray,2c3ccakg6kh578112,167754417,south carolina,usa
12520,gmc,door,2017,clean vehicle,30636.0,red,1gks2gkcxhr323969,167692526,california,usa
15900,jeep,compass,2019,clean vehicle,34502.0,red,3c4njccb7kt660088,167802543,north carolina,usa
26400,buick,door,2017,clean vehicle,25434.0,white,5gakvckd2hj308564,167763690,florida,usa
4140,ford,door,2017,clean vehicle,36732.0,black,1fmcu0gd5hud08310,167656257,texas,usa
18300,chrysler,300,2019,clean vehicle,41792.0,gray,2c3ccaeg0kh555632,167754420,south carolina,usa
9200,ford,door,2017,clean vehicle,21770.0,black,1ftew1ep8hfa10123,167656365,texas,usa
26500,chrysler,pacifica,2017,clean vehicle,18375.0,gray,2c4rc1eg2hr669530,167755839,michigan,usa
24802,chevrolet,colorado,2017,clean vehicle,14158.0,gray,1gcgtcen9h1202076,167765119,michigan,usa
7070,ford,mpv,2017,clean vehicle,30318.0,black,1fm5k7d82hgb21314,167656366,texas,usa
28500,ford,door,2017,clean vehicle,48086.0,red,1ftew1ep2hkd15978,167755890,south carolina,usa
47500,cadillac,door,2017,clean vehicle,26562.0,black,1gys4ckj7hr359884,167765120,michigan,usa
23500,ford,explorer,2017,clean vehicle,57611.0,black,1fm5k8f80hgc67231,167755891,south carolina,usa
23505,chevrolet,colorado,2017,clean vehicle,47357.0,black,1gcptce16h1176629,167765121,michigan,usa
10940,ford,door,2017,clean vehicle,84916.0,white,1ftew1ef1hke25038,167656368,texas,usa
32100,ford,f-150,2017,clean vehicle,24521.0,gray,1ftfw1eg1hfb38806,167755893,south carolina,usa
53000,chevrolet,3500,2018,clean vehicle,16105.0,black,1gc4k1ey0jf149152,167765123,washington,usa
